TID,breadcrumb,category_name,property_type,building_size,land_size,preferred_size,price,location_number,city,zip_code,bedroom_count,bathroom_count,parking_count
1350988,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,225.4,225.4,225.4,225.4,225.4,Darwin City,800,225.4,225.4,225.4
1351646,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Duplex/Semi-detached,144.8,144.8,144.8,144.8,144.8,Bakewell,832,144.8,144.8,144.8
1351647,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,124.0,124.0,124.0,124.0,124.0,Moulden,830,124.0,124.0,124.0
1351648,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,144.8,144.8,144.8,144.8,144.8,Jingili,810,144.8,144.8,144.8
1351649,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,111.0,111.0,111.0,111.0,111.0,Larrakeyah,820,111.0,111.0,111.0
1351650,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,134.8,134.8,134.8,134.8,134.8,Stuart Park,820,134.8,134.8,134.8
1351651,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,226.6,226.6,226.6,226.6,226.6,Bakewell,832,226.6,226.6,226.6
1351652,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,155.8,155.8,155.8,155.8,155.8,Rosebery,832,155.8,155.8,155.8
1351653,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Unit,98.4,98.4,98.4,98.4,98.4,Leanyer,812,98.4,98.4,98.4
1351654,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Villa,80.0,80.0,80.0,80.0,80.0,Gray,830,80.0,80.0,80.0
1351655,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,430.0,430.0,430.0,430.0,430.0,Johnston,832,430.0,430.0,430.0
1351656,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,226.6,226.6,226.6,226.6,226.6,Wagaman,810,226.6,226.6,226.6
1351657,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Apartment,226.6,226.6,226.6,226.6,226.6,Darwin City,800,226.6,226.6,226.6
1351658,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,134.0,134.0,134.0,134.0,134.0,Howard Springs,835,134.0,134.0,134.0
1351659,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,378.0,378.0,378.0,378.0,378.0,Howard Springs,835,378.0,378.0,378.0
1351660,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,226.6,226.6,226.6,226.6,226.6,Moulden,830,226.6,226.6,226.6
1351661,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Townhouse,226.6,226.6,226.6,226.6,226.6,Stuart Park,820,226.6,226.6,226.6
1351662,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,226.6,226.6,226.6,226.6,226.6,Howard Springs,835,226.6,226.6,226.6
1351663,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,258.966,258.966,258.966,258.966,258.966,Alawa,810,258.966,258.966,258.966
1351664,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Unit,258.966,258.966,258.966,258.966,258.966,Nightcliff,810,258.966,258.966,258.966
1351665,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,240.36599999999999,240.36599999999999,240.36599999999999,240.36599999999999,240.36599999999999,Anula,812,240.36599999999999,240.36599999999999,240.36599999999999
1351666,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,197.166,197.166,197.166,197.166,197.166,Berry Springs,838,197.166,197.166,197.166
1351667,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,197.166,197.166,197.166,197.166,197.166,Cullen Bay,820,197.166,197.166,197.166
1351668,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Unit,197.166,197.166,197.166,197.166,197.166,Darwin City,800,197.166,197.166,197.166
1351669,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Apartment,197.166,197.166,197.166,197.166,197.166,Stuart Park,820,197.166,197.166,197.166
